name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4322.5,29.2781,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4352.5,28.4853,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-24-4_time:4383.5,28.1066,oname:heads.csv_otype:lst_usecol:trgw-0-24-4,0.626141
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3652.5,37.3737,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3683.5,37.204,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3712.5,37.1779,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3743.5,37.1762,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3773.5,37.2536,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3804.5,37.3091,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3834.5,37.3012,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3865.5,37.302,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3896.5,37.231,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3926.5,36.9456,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
oname:heads.csv_otype:lst_usecol:trgw-0-26-6_time:3957.5,36.6284,oname:heads.csv_otype:lst_usecol:trgw-0-26-6,0.849932
