,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
46,"(0, 10, 1)","(0, 14, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,1,0,14,0
47,"(0, 11, 2)","(0, 14, 0)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,2,0,14,0
48,"(0, 11, 2)","(0, 14, 1)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,2,0,14,1
49,"(0, 11, 2)","(0, 14, 2)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,2,0,14,2
50,"(0, 11, 3)","(0, 14, 3)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,3,0,14,3
51,"(0, 11, 3)","(0, 14, 4)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,3,0,14,4
52,"(0, 11, 3)","(0, 14, 5)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,3,0,14,5
53,"(0, 11, 4)","(0, 14, 6)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,4,0,14,6
54,"(0, 11, 4)","(0, 14, 7)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,4,0,14,7
55,"(0, 11, 4)","(0, 14, 8)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,4,0,14,8
